2016-03-23 19:11:10.6842|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: error: open("LavaWorld/Temp/UnityLockfile"): Permission denied
error: unable to index file LavaWorld/Temp/UnityLockfile
fatal: updating files failed
2016-03-23 19:08:00.9031|INFO|thread:81|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 311 at RepositoryViewModel.cs:318 after waiting 0.0179748s
2016-03-23 19:08:00.9031|INFO|thread:65|AsyncReaderWriterLock|Released concurrent scheduler for operation: 305 at GitClient.cs:497 after blocking 0.0297484s
2016-03-23 19:08:00.9031|INFO|thread:65|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 312 at GitClient.cs:497 after waiting 0.0199596s
2016-03-23 19:08:00.9031|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 306 at GitClient.cs:497 after blocking 0.0288953s
2016-03-23 19:08:00.9031|INFO|thread:34|AsyncReaderWriterLock|Released concurrent scheduler for operation: 304 at GitClient.cs:497 after blocking 0.0299525s
2016-03-23 19:08:00.9031|INFO|thread:82|AsyncReaderWriterLock|Released concurrent scheduler for operation: 307 at GitClient.cs:497 after blocking 0.0281401s
2016-03-23 19:08:00.9122|INFO|thread:64|AsyncReaderWriterLock|Released concurrent scheduler for operation: 308 at GitClient.cs:497 after blocking 0.0300642s
2016-03-23 19:08:00.9122|INFO|thread:34|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 313 at GitClient.cs:497
2016-03-23 19:08:00.9122|INFO|thread:25|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 313 at GitClient.cs:497 after waiting 1.46E-05s
2016-03-23 19:08:00.9122|INFO|thread:45|AsyncReaderWriterLock|Released concurrent scheduler for operation: 309 at GitClient.cs:497 after blocking 0.0292214s
2016-03-23 19:08:00.9122|INFO|thread:87|AsyncReaderWriterLock|Released concurrent scheduler for operation: 310 at GitClient.cs:497 after blocking 0.0270254s
2016-03-23 19:08:00.9122|INFO|thread:81|AsyncReaderWriterLock|Released concurrent scheduler for operation: 311 at RepositoryViewModel.cs:318 after blocking 0.0115983s
2016-03-23 19:08:00.9262|INFO|thread:65|AsyncReaderWriterLock|Released concurrent scheduler for operation: 312 at GitClient.cs:497 after blocking 0.0186344s
2016-03-23 19:08:00.9262|INFO|thread:34|AsyncReaderWriterLock|Released concurrent scheduler for operation: 313 at GitClient.cs:497 after blocking 0.0170226s
2016-03-23 19:08:31.9442|INFO|thread: 1|AsyncReaderWriterLock|Acquiring exclusive scheduler for operation 314 at ICommitCreator.cs:89
2016-03-23 19:08:31.9442|INFO|thread:81|AsyncReaderWriterLock|Acquired exclusive scheduler for operation: 314 at ICommitCreator.cs:89 after waiting 4.42E-05s
2016-03-23 19:08:31.9442|INFO|thread:40|ExclusiveRepositoryConnection|Creating Commit
2016-03-23 19:08:31.9627|INFO|thread:40|ExclusiveRepositoryConnection|Creating new commit with 194 file(s). test stuff

This is Brittany test

2016-03-23 19:08:31.9627|INFO|thread:40|GitEnvironment|Process set up with this SSH Agent info: 8160:/tmp/ssh-CRaxEmKSvp5A/agent.14448
2016-03-23 19:08:31.9627|INFO|thread:40|GitEnvironment|PATH is C:\Users\Brittany\AppData\Local\GitHub\PortableGit_cf76fc1621ac41ad4fe86c420ab5ff403f1808b9\cmd;C:\Users\Brittany\AppData\Local\GitHub\PortableGit_cf76fc1621ac41ad4fe86c420ab5ff403f1808b9\usr\bin;C:\Users\Brittany\AppData\Local\GitHub\PortableGit_cf76fc1621ac41ad4fe86c420ab5ff403f1808b9\usr\share\git-tfs;C:\Users\Brittany\AppData\Local\Apps\2.0\ODYM2R2V.C34\TMDG8POC.8GK\gith..tion_317444273a93ac29_0003.0000_eb093b9833279bd4;C:\Users\Brittany\AppData\Local\GitHub\lfs-amd64_1.1.0;C:\WINDOWS\Microsoft.NET\Framework\v4.0.30319;C:\WINDOWS\System32
